"Document";"Document title";"Committee Code";"Dossier";"Dossier start date";"Dossier end date";"URL";"File"
"D00315/01";"Summary Record of the 786th Meeting of the Management Committee for Poultry Meat and Eggs";"C05700";"CMTD(2008)0058";"17/04/2008";"17/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=74&DS_ID=315&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=315&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00203/01";"Summary report of the 77th meeting of the Management Committee for Direct Payments  ";"C04800";"CMTD(2008)0034";"09/04/2008";"09/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=50&DS_ID=203&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=203&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00225/01";"Summary record of the Standing Committee on Zootechnics.";"C20500";"CMTD(2008)0027";"08/04/2008";"08/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=43&DS_ID=225&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=225&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00375/01";"Concise minutes from meeting of the Culture Management Committee Monday 05 May 2008";"C31700";"CMTD(2008)0110";"05/05/2008";"05/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=126&DS_ID=375&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=375&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00402/01";"Summary Record of the 11th Meeting of the Management Committee for the Common Organisation of the Agricultural Markets";"C35000";"CMTD(2008)0080";"18/04/2008";"18/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=96&DS_ID=402&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=402&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00403/01";"Summary Record of the 13th Meeting of the Management Committee for the Common Organisation of the Agricultural Markets";"C35000";"CMTD(2008)0108";"24/04/2008";"24/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=124&DS_ID=403&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=403&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00404/01";"Short Report of the 73rd Meeting of the Standing Committee on Organic Farming";"C06500";"CMTD(2008)0007";"15/04/2008";"16/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=23&DS_ID=404&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=404&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00409/01";"Summary Record of the 12th Meeting of the Management Committee for the Common Organisation of Agricultural Markets";"C35000";"CMTD(2008)0148";"18/04/2008";"18/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=164&DS_ID=409&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=409&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00412/01";"Summary record of the Standing Committee on the Food Chain and Animal Health - section ""Toxicological Safety of the Food Chain"", Brussels 11 April 2008";"C20408";"CMTD(2008)0048";"11/04/2008";"11/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=64&DS_ID=412&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=412&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00412/01";"List of participants to the Standing Committee on the Food Chain and Animal Health - section ""Toxicological Safety of the Food Chain"", Brussels 11 April 2008";"C20408";"CMTD(2008)0048";"11/04/2008";"11/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=64&DS_ID=412&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=412&version=1&AttLang=en&db_number=2&docType=SUMMARY_RECORD"
"D00460/01";"Summary report of the 17th meeting of the Coordination Committee of the Funds (COCOF)_23/04/2008";"C30900";"CMTD(2008)0054";"23/04/2008";"23/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=70&DS_ID=460&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=460&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00397/01";"liste de présences - réunion du 25 avril 2008";"C31600";"CMTD(2008)0067";"25/04/2008";"25/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=83&DS_ID=397&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=397&version=1&AttLang=en&db_number=2&docType=SUMMARY_RECORD"
"D00448/01";"Minutes of the 447th Customs Code Committee - Tariff and Statistical Nomenclature Section - Mechanical/Miscellaneous Sector";"C18106";"CMTD(2008)0161";"16/04/2008";"18/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=177&DS_ID=448&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=448&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00462/01";"Summary Record - Meeting of the Market Access Advisory Committee on the negotiation and implementation of air service agreements between Member States and third countries - Brussels, 23 April 2008  ";"C06900";"CMTD(2008)0021";"23/04/2008";"23/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=37&DS_ID=462&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=462&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
